source,target
Do schools kill creativity?,Bring on the learning revolution!
Do schools kill creativity?,How to escape education's death valley
Do schools kill creativity?,"How to fix a broken school? Lead fearlessly, love hard"
Do schools kill creativity?,Education innovation in the slums
Do schools kill creativity?,A short intro to the Studio School
Do schools kill creativity?,How America's public schools keep kids in poverty
Averting the climate crisis,New thinking on the climate crisis
Averting the climate crisis,The business logic of sustainability
Averting the climate crisis,The state of the climate — and what we might do about it
Averting the climate crisis,A climate solution where all sides can win
Averting the climate crisis,Climate change is happening. Here's how we adapt
Averting the climate crisis,Why climate change is a threat to human rights
Simplicity sells,10 top time-saving tech tips
Simplicity sells,The first secret of design is ... noticing
Simplicity sells,Designing for simplicity
Simplicity sells,Meet the inventor of the electronic spreadsheet
Simplicity sells,Design and discovery
Simplicity sells,How the Internet will (one day) transform government
Greening the ghetto,3 stories of local eco-entrepreneurship
Greening the ghetto,A new vision for rebuilding Detroit
Greening the ghetto,A park underneath the hustle and bustle of New York City
Greening the ghetto,Who belongs in a city?
Greening the ghetto,A practical way to help the homeless find work and safety
Greening the ghetto,7 principles for building better cities
The best stats you've ever seen,Own your body's data
The best stats you've ever seen,A visual history of human knowledge
The best stats you've ever seen,Let my dataset change your mindset
The best stats you've ever seen,The good news of the decade? We're winning the war against child mortality
The best stats you've ever seen,New insights on poverty
The best stats you've ever seen,"Global population growth, box by box"
Why we do what we do,My stroke of insight
Why we do what we do,8 secrets of success
Why we do what we do,The surprising science of happiness
Why we do what we do,The social animal
Why we do what we do,There's more to life than being happy
Why we do what we do,This app knows how you feel -- from the look on your face
Letting go of God,Why people believe weird things
Letting go of God,Let's teach religion -- all religion -- in schools
Letting go of God,"It's time for ""The Talk"""
Letting go of God,Why would God create a tsunami?
Letting go of God,A life of purpose
Letting go of God,On technology and faith
Behind the design of Seattle's library,Building a theater that remakes itself
Behind the design of Seattle's library,How to reinvent the apartment building
Behind the design of Seattle's library,Why the buildings of the future will be shaped by ... you
Behind the design of Seattle's library,The Blur Building and other tech-empowered architecture
Behind the design of Seattle's library,My days as a young rebel
Behind the design of Seattle's library,How architecture can connect us
Let's teach religion -- all religion -- in schools,A life of purpose
Let's teach religion -- all religion -- in schools,Is religion good or bad? (This is a trick question)
Let's teach religion -- all religion -- in schools,My wish: The Charter for Compassion
Let's teach religion -- all religion -- in schools,Militant atheism
Let's teach religion -- all religion -- in schools,My year of living biblically
Let's teach religion -- all religion -- in schools,Atheism 2.0
A life of purpose,Let's teach religion -- all religion -- in schools
A life of purpose,"Lose your ego, find your compassion"
A life of purpose,Is religion good or bad? (This is a trick question)
A life of purpose,My year of living biblically
A life of purpose,Letting go of God
A life of purpose,On technology and faith
My wish: A call for open-source architecture,Architecture for the people by the people
My wish: A call for open-source architecture,Why the buildings of the future will be shaped by ... you
My wish: A call for open-source architecture,How architecture can connect us
My wish: A call for open-source architecture,Designers -- think big!
My wish: A call for open-source architecture,Architecture that's built to heal
My wish: A call for open-source architecture,Designing objects that tell stories
My wish: A global day of film,How virtual reality can create the ultimate empathy machine
My wish: A global day of film,The shared wonder of film
My wish: A global day of film,We are the stories we tell ourselves
My wish: A global day of film,"A tour of Nollywood, Nigeria's booming film industry"
My wish: A global day of film,My journey into movies that matter
My wish: A global day of film,What happens when you lose everything
My wish: Help me stop pandemics,How we'll stop polio for good
My wish: Help me stop pandemics,HIV and flu -- the vaccine strategy
My wish: Help me stop pandemics,Demo: A needle-free vaccine patch that's safer and way cheaper
My wish: Help me stop pandemics,Lessons from the 1918 flu
My wish: Help me stop pandemics,The case for optimism
My wish: Help me stop pandemics,The power of herd immunity
The radical promise of the multi-touch interface,The thrilling potential of SixthSense technology
The radical promise of the multi-touch interface,Pointing to the future of UI
The radical promise of the multi-touch interface,The best computer interface? Maybe ... your hands
The radical promise of the multi-touch interface,Shape-shifting tech will change work as we know it
The radical promise of the multi-touch interface,Juggling as art ... and science
The radical promise of the multi-touch interface,"5 predictions, from 1984"
One Laptop per Child,A 30-year history of the future
One Laptop per Child,The thinking behind 50x15
One Laptop per Child,Build a School in the Cloud
One Laptop per Child,"One Laptop per Child, two years on"
One Laptop per Child,Taking OLPC to Colombia
One Laptop per Child,"5 predictions, from 1984"
An 11-year-old's magical violin,An 11-year-old prodigy performs old-school jazz
An 11-year-old's magical violin,"The dancer, the singer, the cellist ... and a moment of creative magic"
An 11-year-old's magical violin,"On violin and cello, ""Passacaglia"""
An 11-year-old's magical violin,"Music is medicine, music is sanity"
An 11-year-old's magical violin,Music and emotion through time
An 11-year-old's magical violin,The DIY orchestra of the future
"Improvising on piano, aged 14",An 11-year-old prodigy performs old-school jazz
"Improvising on piano, aged 14",Why I take the piano on the road ... and in the air
"Improvising on piano, aged 14",There are no mistakes on the bandstand
"Improvising on piano, aged 14",The mad scientist of music
"Improvising on piano, aged 14",How architecture helped music evolve
"Improvising on piano, aged 14",Inventing instruments that unlock new music
Simple designs to save a life,Energy from floating algae pods
Simple designs to save a life,Using nature's genius in architecture
Simple designs to save a life,Cooking as never seen before
Simple designs to save a life,A vision for sustainable restaurants
Simple designs to save a life,3 stories of local eco-entrepreneurship
Simple designs to save a life,My wish: Rebuilding Rwanda
"Organic design, inspired by nature","Magical houses, made of bamboo"
"Organic design, inspired by nature",My green agenda for architecture
"Organic design, inspired by nature",Biomimicry in action
"Organic design, inspired by nature",Great cars are great art
"Organic design, inspired by nature",Ways of seeing
"Organic design, inspired by nature",Treat design as art
The birth of Wikipedia,The Web as random acts of kindness
The birth of Wikipedia,The Web as a city
The birth of Wikipedia,Massive-scale online collaboration
The birth of Wikipedia,The new open-source economics
The birth of Wikipedia,Is Pivot a turning point for web exploration?
The birth of Wikipedia,"Beware online ""filter bubbles"""
The birth of the open-source learning revolution,Why massive open online courses (still) matter
The birth of the open-source learning revolution,What we're learning from online education
The birth of the open-source learning revolution,The self-organizing computer course
The birth of the open-source learning revolution,A free digital library
The birth of the open-source learning revolution,My year reading a book from every country in the world
The birth of the open-source learning revolution,Old books reborn as art
Nerdcore comedy,The  4 a.m. mystery
Nerdcore comedy,My web playroom
Nerdcore comedy,Are you human?
Nerdcore comedy,How to find a wonderful idea
Nerdcore comedy,Visualizing ourselves ... with crowd-sourced data
Nerdcore comedy,How artists can (finally) get paid in the digital age 
Meet the founder of the blog revolution,The Web's secret stories
Meet the founder of the blog revolution,The technology of storytelling
Meet the founder of the blog revolution,The clues to a great story
Meet the founder of the blog revolution,The genesis of Google
Meet the founder of the blog revolution,How the Net aids dictatorships
Meet the founder of the blog revolution,Half a million secrets
"Why we love, why we cheat",The brain in love
"Why we love, why we cheat","Aliens, love -- where are they?"
"Why we love, why we cheat",The secret to desire in a long-term relationship
"Why we love, why we cheat",Technology hasn't changed love. Here's why
"Why we love, why we cheat",A better way to talk about love
"Why we love, why we cheat",Falling in love is the easy part
Happiness in body and soul,What security means to me
Happiness in body and soul,Embrace your inner girl
Happiness in body and soul,Violence against women -- it's a men's issue
Happiness in body and soul,"Suddenly, my body"
Happiness in body and soul,My mother’s strange definition of empowerment
Happiness in body and soul,"Radical women, embracing tradition"
Chemical scum that dream of distant quasars,"How I fell in love with quasars, blazars and our incredible universe"
Chemical scum that dream of distant quasars,The hunt for a supermassive black hole
Chemical scum that dream of distant quasars,The sound the universe makes
Chemical scum that dream of distant quasars,Is this our final century?
Chemical scum that dream of distant quasars,Is our universe the only universe?
Chemical scum that dream of distant quasars,Questioning the universe
Why the universe seems so strange,Science versus wonder?
Why the universe seems so strange,Making sense of a visible quantum object
Why the universe seems so strange,Stunning data visualization in the AlloSphere
Why the universe seems so strange,The fascinating physics of everyday life
Why the universe seems so strange,Is this our final century?
Why the universe seems so strange,Science and democracy
The freakonomics of crack dealing,"Choice, happiness and spaghetti sauce"
The freakonomics of crack dealing,How we're priming some kids for college — and others for prison
The freakonomics of crack dealing,Does money make you mean?
The freakonomics of crack dealing,The deadly genius of drug cartels
The freakonomics of crack dealing,How we cut youth violence in Boston by 79 percent
The freakonomics of crack dealing,Everything you think you know about addiction is wrong
"Choice, happiness and spaghetti sauce",The paradox of choice
"Choice, happiness and spaghetti sauce",How to get your ideas to spread
"Choice, happiness and spaghetti sauce",The unheard story of David and Goliath
"Choice, happiness and spaghetti sauce",What's wrong with what we eat
"Choice, happiness and spaghetti sauce",My subversive (garden) plot
"Choice, happiness and spaghetti sauce",Teach every child about food
The surprising science of happiness,The Happy Planet Index
The surprising science of happiness,Want to be happy? Be grateful
The surprising science of happiness,Happy maps
The surprising science of happiness,Want to be happier? Stay in the moment
The surprising science of happiness,Happiness and its surprises
