latitude,longitude,desc,events,count
-43.530955,172.63664599999998,Christchurch,['TEDxEQChCh'],1
-35.282071,149.12866699999998,Canberra,['TEDxCanberra'],1
-34.612869,-58.445979,Buenos Aires,['TEDxRiodelaPlata'],1
-33.854816,151.216454,Sydney,"['TEDxYouth@Sydney', 'TEDxSydney']",2
-32.927288,151.781253,Newcastle,['TEDxNewy'],1
-30.986943,150.442157,Carroll,['TEDxPerth'],1
-27.468968,153.023499,Brisbane,['TEDxSouthBank'],1
-26.205,28.049721999999996,Johannesburg,"['TEDxWitsUniversity', 'TED@Johannesburg']",2
-22.911014,-43.209373,Rio de Janeiro,['TEDGlobal 2014'],1
-3.3669559999999996,36.691552,Arusha,"['TEDGlobal 2017', 'TEDGlobal 2007']",2
-3.132862,-59.986529000000004,Manaus,['TEDxAmazonia'],1
-1.283253,36.817245,Nairobi,"['TEDNairobi Ideas Search', 'TED@Nairobi']",2
1.290453,103.85203800000001,Singapore,['TED@BCG Singapore'],1
6.455058,3.3941800000000004,Lagos,['TEDLagos Ideas Search'],1
10.657214,-61.51803,Port of Spain,['TEDxPortofSpain'],1
12.97912,77.5913,Bengaluru,['TED@Bangalore'],1
18.952379999999998,72.832711,Mumbai,"['TEDxGatewayWomen', 'TEDIndia 2009']",2
20.888034,-156.46785,Kahului,['TEDxMaui'],1
20.913903,-100.744012,San Miguel De Allende,['TEDxSanMigueldeAllende'],1
25.268352,55.296195999999995,Dubai,['TEDxDubai'],1
25.285252,51.526837,Doha,['TEDxSummit'],1
25.710291,-80.268654,Coral Gables,['TEDxMIA'],1
29.651958,-82.325024,Gainesville,['TEDxUF'],1
29.760803000000003,-95.369506,Houston,['TEDxHouston'],1
29.950621,-90.07494799999999,New Orleans,['TEDYouth 2013'],1
30.05412,-97.54943,San Diego,['TEDxSanDiego'],1
30.264978999999997,-97.74659799999999,Austin,"['TEDxAustin', 'TED@SXSWi']",2
32.080481,34.780527,Tel Aviv,"['TEDxJaffa 2013', 'TEDxJaffa 2012', 'TEDxTelAviv 2010']",3
32.08059,-81.090103,Savannah,['TEDxCreativeCoast'],1
32.500759,-92.111225,Monroe,['TEDxMonroeCorrectionalComplex'],1
32.715759999999996,-117.163817,San Diego,"['TEDMED 2010', 'TEDMED 2009']",2
32.777977,-96.796215,Dallas,['TEDxSMU'],1
33.41514,-111.831498,Mesa,['TEDxPhoenix'],1
33.663857,-117.904765,Costa Mesa,['TEDxOrangeCoast'],1
33.748546999999995,-84.391502,Atlanta,"['TEDxPeachtree', 'TEDxAtlanta']",2
33.767168,-118.19372299999999,Long Beach,"['TED2013', 'TED2012', 'TED2011', 'TED2010', 'TED2009']",5
33.791489,-117.853096,Orange,['TEDxChapmanU'],1
33.830302,-116.546843,Palm Springs,"['TEDMED 2016', 'TEDActive 2011']",2
33.895920000000004,35.478429999999996,Beirut,['TEDxBeirut'],1
33.920861,-118.415947,El Segundo,['TEDxManhattanBeach'],1
34.010932000000004,-118.49151200000001,Santa Monica,['TEDxGreatPacificGarbagePatch'],1
34.052238,-118.243344,Los Angeles,"['TEDxCrenshaw', 'TEDxUSC']",2
34.096606,-117.719315,Claremont,['TEDxClaremontColleges'],1
