event,event_type,avg_views,avg_speed_of_speech,avg_duration,film_date,nof_talks,talks,event_id
AORN Congress,external,149818.0,0.0,8.5,2009-03-14,1,[590],0
Arbejdsglaede Live,external,971594.0,166.2087912087912,18.2,2009-05-05,1,[632],1
BBC TV,external,521974.0,0.0,65.91666666666667,1983-08-07,1,[629],2
Bowery Poetry Club,external,676741.0,0.0,3.033333333333333,2005-12-11,1,[601],3
Business Innovation Factory,external,304086.0,110.97248204613025,18.427777777777777,2009-07-10,3,"[581, 762, 789]",4
Carnegie Mellon University,external,564781.0,0.0,76.45,2007-09-18,1,[588],5
Chautauqua Institution,external,260868.66666666666,127.09430080665679,17.883333333333333,2009-01-10,3,"[324, 325, 327]",6
DICE Summit 2010,external,449161.0,0.0,28.3,2010-02-18,1,[655],7
DLD 2007,external,763815.0,130.7981220657277,31.95,2007-01-01,1,[206],8
EG 2007,external,1037266.7692307692,173.0449404342768,19.582051282051278,2007-02-12,13,"[229, 247, 251, 261, 269, 277, 279, 285, 289, 293, 300, 305, 312]",9
EG 2008,external,2048258.625,169.34713462985977,17.972916666666666,2008-05-12,8,"[393, 398, 407, 412, 428, 451, 566, 569]",10
Elizabeth G. Anderson School,external,1026589.0,126.00801068090789,12.483333333333333,2009-04-04,1,[457],11
Eric Whitacre's Virtual Choir,external,399280.0,0.0,4.25,2010-10-03,1,[665],12
Fort Worth City Council,external,278672.0,0.0,12.916666666666666,2010-12-10,1,[791],13
Full Spectrum Auditions,external,1172357.6666666667,75.6781293542219,5.394444444444445,2011-05-24,3,"[962, 968, 1071]",14
Gel Conference,external,656391.5,0.0,11.783333333333333,2006-08-09,2,"[764, 941]",15
Global Witness HQ,external,1015683.0,137.78251599147123,7.816666666666666,2016-05-04,1,[2182],16
Handheld Learning,external,251313.0,0.0,46.016666666666666,2009-06-10,1,[947],17
Harvard University,external,1406151.0,0.0,20.966666666666665,2008-05-06,1,[607],18
INK Conference,external,1642960.1666666667,149.89314899753455,14.261111111111111,2010-01-12,6,"[914, 918, 924, 976, 1062, 1152]",19
Justice with Michael Sandel,external,393459.0,0.0,54.93333333333333,2005-01-09,1,[580],20
LIFT 2007,external,1486853.0,151.5011914217633,20.983333333333334,2007-02-02,1,[280],21
Michael Howard Studios,external,176995.0,0.0,6.783333333333333,2008-09-10,1,[649],22
Mission Blue II,external,1329472.25,154.44610194839012,14.920833333333336,2015-10-10,8,"[2091, 2092, 2097, 2105, 2111, 2128, 2140, 2152]",23
Mission Blue Voyage,external,535283.3333333334,167.82158022927376,16.162962962962965,2010-04-14,18,"[666, 673, 678, 683, 689, 699, 710, 720, 739, 752, 765, 783, 794, 799, 804, 816, 1132, 1159]",24
New York State Senate,external,292395.0,0.0,7.55,2009-02-12,1,[744],25
NextGen:Charity,external,293626.0,0.0,19.616666666666667,2010-11-16,1,[1016],26
Princeton University,external,659664.0,0.0,18.733333333333334,2010-05-15,1,[738],27
