title	id
Do schools kill creativity?	0
Bring on the learning revolution!	692
How to escape education's death valley	1502
Averting the climate crisis	1
New thinking on the climate crisis	214
The business logic of sustainability	450
Simplicity sells	2
10 top time-saving tech tips	1488
The first secret of design is ... noticing	1989
Greening the ghetto	3
3 stories of local eco-entrepreneurship	836
A new vision for rebuilding Detroit	1644
The best stats you've ever seen	4
Own your body's data	1797
A visual history of human knowledge	2028
Why we do what we do	5
My stroke of insight	201
8 secrets of success	47
Letting go of God	6
Why people believe weird things	43
Let's teach religion -- all religion -- in schools	8
Behind the design of Seattle's library	7
Building a theater that remakes itself	603
How to reinvent the apartment building	1829
A life of purpose	9
Is religion good or bad? (This is a trick question)	1767
Lose your ego, find your compassion	326
My wish: A call for open-source architecture	10
Architecture for the people by the people	1511
Why the buildings of the future will be shaped by ... you	1932
My wish: A global day of film	11
How virtual reality can create the ultimate empathy machine	1962
The shared wonder of film	1259
My wish: Help me stop pandemics	12
How we'll stop polio for good	943
HIV and flu -- the vaccine strategy	695
The radical promise of the multi-touch interface	13
The thrilling potential of SixthSense technology	553
Pointing to the future of UI	698
One Laptop per Child	14
A 30-year history of the future	1783
The thinking behind 50x15	223
An 11-year-old's magical violin	15
An 11-year-old prodigy performs old-school jazz	2000
The dancer, the singer, the cellist ... and a moment of creative magic	1971
Improvising on piano, aged 14	16
Why I take the piano on the road ... and in the air	1834
Simple designs to save a life	17
Energy from floating algae pods	1323
Using nature's genius in architecture	867
Organic design, inspired by nature	18
Magical houses, made of bamboo	1975
My green agenda for architecture	206
The birth of Wikipedia	19
The Web as random acts of kindness	518
The Web as a city	309
The birth of the open-source learning revolution	20
Why massive open online courses (still) matter	1666
What we're learning from online education	1304
Nerdcore comedy	21
The  4 a.m. mystery	124
My web playroom	790
Meet the founder of the blog revolution	22
The Web's secret stories	121
The technology of storytelling	1071
Why we love, why we cheat	23
The brain in love	259
Aliens, love -- where are they?	315
Happiness in body and soul	24
What security means to me	295
Embrace your inner girl	604
Chemical scum that dream of distant quasars	25
How I fell in love with quasars, blazars and our incredible universe	1961
The hunt for a supermassive black hole	564
Why the universe seems so strange	26
Science versus wonder?	1066
Making sense of a visible quantum object	950
The freakonomics of crack dealing	27
Choice, happiness and spaghetti sauce	28
How we're priming some kids for college — and others for prison	1968
The paradox of choice	30
How to get your ideas to spread	67
The surprising science of happiness	29
The Happy Planet Index	755
Want to be happy? Be grateful	1633
How to make hard choices 	1769
The art of choosing	736
Meet the future of cancer research	31
The future of early cancer detection?	1842
Can we eat to starve cancer?	687
A roadmap to end aging	32
Your genes are not your fate	242
The potential of regenerative medicine	120
How mobile phones can fight poverty	33
The "bottom billion"	234
Patient capitalism	133
Invest in Africa's own solutions	34
In praise of macro -- yes, macro -- finance in Africa	1931
Why invest in Africa	130
Why we should invest in a free press	35
My journey into movies that matter	136
How to rebuild a broken state	36
Want to help Africa? Do business here	110
We need money for aid. So let’s print it.	1687
The real future of space exploration	37
I'm going to the moon. Who's with me?	118
The astonishing hidden world of the deep ocean	230
Why did I ski to the North Pole?	38
The surprising thing I learned sailing solo around the world	2005
A leap from the edge of space	508
My wish: Three actions for Africa	39
How to educate leaders? Liberal arts	131
My wish: Manufactured landscapes and green education	40
Turning powerful stats into art	241
My wish: Let my photographs bear witness	65
My wish: Three unusual medical inventions	41
Luke, a new prosthetic arm for soldiers	137
How juries are fooled by statistics	42
A new way to explain explanation	543
10 myths about psychology, debunked	1909
The accelerating power of technology	44
How technology evolves	45
How PhotoSynth can connect the world's images	108
The next 5,000 days of the web	269
Fight injustice with raw video	46
5 dangerous things you should let your kids do	171
If I controlled the Internet	48
A story of mixed emoticons	320
The killer American diet that's sweeping the planet	49
What's wrong with what we eat	229
What's wrong with school lunches	293
The hidden world of shadow cities	50
Photographs of secret sites	521
Ingenious homes in unexpected places	1603
Global priorities bigger than climate change	51
How the news distorts our worldview	228
Dreams from endangered cultures	52
The worldwide web of belief and ritual	238
The story of life in photographs	84
Photos of endangered cultures	53
Gorgeous portraits of the world's vanishing people	1986
What the people of the Amazon know that you don't	1870
Is this our final century?	54
10 ways the world could end	146
Progress is not a zero-sum game	55
The surprising decline in violence	142
How the "ghost map" helped end a killer disease	56
The era of open innovation	57
The new power of collaboration	189
The new open-source economics	217
A dance of "Symbiosis"	58
"Tembererana"	179
Four American characters	59
Everyday inventions	60
Unleash your creativity in a Fab Lab	61
In praise of slowness	62
My wish: Rebuilding Rwanda	63
My wish: Build the Encyclopedia of Life	64
How humans and animals can live together	287
What separates us from chimpanzees?	66
The gentle genius of bonobos	83
The emergent genius of ant colonies	174
Technology's long tail	99
How we discovered DNA	68
Beauty, truth and ... physics?	166
Visual illusions that show how we (mis)think	69
Art with wire, sugar, chocolate and string	78
To invent is to give	70
The life code that will reshape the future	71
On the verge of creating synthetic life	199
Happiness by design	72
Things I've learned in my life so far	303
The illustrated woman	152
The route to a sustainable future	73
Cradle to cradle design	90
Biomimicry's surprising lessons from nature's engineers	80
How architecture can connect us	74
The Blur Building and other tech-empowered architecture	305
Great cars are great art	75
Designing objects that tell stories	231
Singing "What I Want"	76
"Thula Mama"	134
"Kiteflyer's Hill"	93
Design is in the details	77
Tales of creativity and play	332
My creations, a new form of life	140
Moving sculpture	232
A philosophical quest for our biggest problems	79
Robots inspired by cockroach ingenuity	243
The fractals at the heart of African designs	164
Sampling the ocean's DNA	81
A family tree for humanity	274
Software (as) art	82
A new kind of music video	212
The shrimp with a kick!	85
How photography connects us	275
Swim with the giant sunfish	107
Global warming's theme song, "Manhattan in January"	86
The Jill and Julia Show	193
"Black Men Ski"	102
Casting a spell on the cello	87
Cape Breton fiddling in reel time	100
"What You've Got"	94
The illusion of consciousness	88
Dangerous memes	119
How brain science will change computing	106
How to truly listen	89
The transformative power of classical music	246
Inventing instruments that unlock new music	216
The electricity metaphor for the web's future	91
The genesis of Google	101
A mockingbird remix of TED2006	92
A powerful poem about what it feels like to be transgender	1995
Why would God create a tsunami?	95
My wish: The Charter for Compassion	204
On technology and faith	260
Militant atheism	96
A comic sendup of TED2006	97
