speaker,speaker_occupation,avg_views,avg_speed_of_speech,nof_talks,talks,total_views,speaker_id
 OK Go,Band,1493866.000,129.44075829383888,1,[2460],1493866,0
 Rodrigo y Gabriela,Guitar duo,1138566.000,0.933852140077821,1,[2382],1138566,1
 Silk Road Ensemble,Musical explorers,640734.000,0.0,1,[2407],640734,2
 Sofi Tukker,Band,815611.000,75.0,1,[2476],815611,3
AJ Jacobs,Author,1622792.667,146.01057671454546,3,"[261, 1100, 1766]",4868378,4
Aakash Odedra,Choreographer,817014.000,0.10169491525423728,1,[1877],817014,5
Aala El-Khani,Humanitarian psychologist,896491.000,148.10747663551402,1,[2380],896491,6
Aaron Huey,Photographer,1347633.000,141.55339805825244,1,[809],1347633,7
Aaron Koblin,Data artist,1474192.000,190.8743169398907,1,[942],1474192,8
Aaron O'Connell,Physicist,1272198.000,176.687898089172,1,[950],1272198,9
Abe Davis,Computer scientist,1386424.000,139.44289693593316,1,[1970],1386424,10
Abha Dawesar,Novelist,1245695.000,164.35506241331484,1,[1613],1245695,11
Abigail Marsh,Psychologist,1690453.000,163.88663967611336,1,[2282],1690453,12
Abigail Washburn,Clawhammer banjo player,981351.000,121.52284263959392,1,[1204],981351,13
Abraham Verghese,Physician and author,1390908.000,165.05395683453236,1,[1022],1390908,14
Achenyo Idachaba,Green entrepreneur,1716203.000,127.4141876430206,1,[2122],1716203,15
Adam Alter,Psychologist,1858990.000,193.0755711775044,1,[2487],1858990,16
Adam Davidson,Journalist,783528.000,158.43434343434342,1,[1404],783528,17
Adam Driver,Actor and Marine Corps veteran,3016666.000,176.83918669131236,1,[2215],3016666,18
Adam Foss,Juvenile justice reformer,1723874.000,156.0501567398119,1,[2165],1723874,19
Adam Galinsky,Social psychologist,3225186.000,156.01321585903085,1,[2332],3225186,20
Adam Garone,Moustache activist,714578.000,165.43456543456543,1,[1369],714578,21
Adam Grant,Organizational psychologist,5010070.000,170.43375702435108,2,"[2174, 2353]",10020140,22
Adam Grosser,Venture capitalist,857181.000,155.54502369668248,1,[244],857181,23
Adam Ostrow,Journalist,1134961.000,165.59270516717325,1,[991],1134961,24
Adam Sadowsky,Creative entrepreneur ,1059130.000,98.77880184331798,1,[702],1059130,25
Adam Savage,"Maker, critical thinker",1435186.000,125.53750579106645,3,"[407, 1174, 2248]",4305558,26
Adam Spencer,Science communicator,2014461.000,154.77338476374155,1,[1571],2014461,27
Adam de la Zerda,"Biologist, electrical engineer",985203.000,197.8740157480315,1,[2295],985203,28
Aditi Gupta,"Social entrepreneur, co-founder of Menstrupedia",1428083.000,132.6268656716418,1,[2190],1428083,29
Aditi Shankardass,Neuroscientist ,957087.000,107.35674676524953,1,[716],957087,30
Adora Svitak,Child prodigy,4782854.000,150.97560975609758,1,[654],4782854,31
Afra Raymond,Transparency activist,824898.000,176.969696969697,1,[1440],824898,32
Ahn Trio,Piano trio,746852.000,12.743362831858407,1,[878],746852,33
Aicha el-Wafi + Phyllis Rodriguez,9/11 mothers,820976.000,103.03030303030303,1,[926],820976,34
Aimee Mullins,Athlete and actor,2179948.333,143.60504836339894,3,"[376, 402, 617]",6539845,35
Ajit Narayanan,Visual grammar engine inventor,1256969.000,165.8748674443266,1,[1695],1256969,36
Al Gore,Climate advocate,1837906.000,136.3559873757761,4,"[1, 214, 443, 2144]",7351624,37
Al Seckel,Master of visual illusions,2138907.000,117.11340206185567,1,[69],2138907,38
Al Vernacchio,Sexuality educator,1836106.000,147.90419161676647,1,[1545],1836106,39
Alaa Murabit,Peace expert,2312512.000,130.3956343792633,1,[2019],2312512,40
Alain de Botton,Philosopher,3996817.500,188.45774071421263,2,"[492, 1114]",7993635,41
Alan Eustace,Stratospheric explorer,1437261.000,139.97695852534562,1,[2040],1437261,42
Alan Kay,Educator and computing pioneer,777609.000,139.11075181891673,1,[198],777609,43
Alan Russell,Medical futurist,1427723.000,172.17167381974247,1,[120],1427723,44
Alan Siegel,"Executive, simplicity guru",876649.000,142.10526315789474,1,[646],876649,45
Alan Smith,Data visualisation editor,1369939.000,164.7074122236671,1,[2372],1369939,46
Alanna Shaikh,Global health and development specialist,1280380.000,156.68393782383419,1,[1277],1280380,47
Alastair Parvin,Designer,1422767.000,160.4298356510746,1,[1511],1422767,48
Alberto Cairo,Physiotherapist,802688.000,122.4693520140105,1,[1099],802688,49
Alec Soth + Stacey Baker,Photo editor,1780746.000,147.4757281553398,1,[2015],1780746,50
Alejandro Aravena,Urban architect,1652993.000,129.4204425711275,1,[1858],1652993,51
Alejandro Sánchez Alvarado,Developmental and regeneration biologist,1059199.000,146.40316205533597,1,[2360],1059199,52
Aleph Molinari,"Economist, techno-activist",115346.000,0.0,1,[1133],115346,53
Alessandra Orofino,Political mobilization activist,735649.000,122.09836065573771,1,[1855],735649,54
Alessandro Acquisti,Privacy economist,1305155.000,150.13333333333333,1,[1604],1305155,55
Alex Kipman,Inventor,2224913.000,131.21397379912665,1,[2169],2224913,56
Alex Laskey,Energy software maker,1089949.000,156.0488798370672,1,[1518],1089949,57
Alex Steffen,Planetary futurist,1188374.000,187.77713116504825,2,"[73, 997]",2376748,58
Alex Tabarrok,Economist,748739.000,142.33676975945016,1,[435],748739,59
Alex Wissner-Gross,"Scientist, entrepreneur, inventor",1977165.000,136.94915254237287,1,[1674],1977165,60
Alexa Meade,Visual artist,2682427.000,155.5188679245283,1,[1574],2682427,61
Alexander Betts,Social scientist,1627779.500,140.89328109219926,2,"[2152, 2241]",3255559,62
Alexander Tsiaras,Medical image maker,6064898.000,106.16984402079723,1,[1062],6064898,63
Alexander Wagner,Economist,621431.000,143.16831683168317,1,[2538],621431,64
Alexis Ohanian,Entrepreneur,2066733.000,191.72932330827066,1,[574],2066733,65
Ali Carr-Chellman,Instructional designer,953587.000,175.76,1,[848],953587,66
Alice Bows-Larkin,Climate scholar,1158020.000,152.46813441483198,1,[2058],1158020,67
Alice Dreger,Historian,1071132.000,194.94680851063828,1,[956],1071132,68
Alice Goffman,Urban sociologist,1528815.000,149.9377593360996,1,[1968],1528815,69
Alice Rawsthorn,Design critic,914011.000,136.6193181818182,1,[2198],914011,70
"Alicia Garza, Patrisse Cullors and Opal Tometi","Writer, activist",782276.000,145.80310880829018,1,[2334],782276,71
Alisa Miller,"CEO, Public Radio International (PRI)",1888717.000,109.96282527881041,1,[228],1888717,72
Alison Gopnik,Child development psychologist,2901853.000,170.96483318304777,1,[1033],2901853,73
Alison Jackson,Artist,670863.000,126.36363636363636,1,[183],670863,74
Alison Killing,Architect,1342220.000,175.69811167347603,2,"[1946, 2104]",2684440,75
Alix Generous,Advocate,1591495.000,121.15015974440894,1,[2027],1591495,76
Allan Adams,Theoretical physicist,1984797.000,150.12158054711244,2,"[1713, 2142]",3969594,77
Allan Jones,Brain scientist,1033748.000,173.15960912052117,1,[1058],1033748,78
Allan Savory,Grassland ecosystem pioneer,4191678.000,127.30395817774459,1,[1448],4191678,79
Allison Hunt,Marketing expert,558993.000,165.20833333333334,1,[126],558993,80
Alwar Balasubramaniam,Artist,427590.000,161.60237388724033,1,[761],427590,81
Alyson McGregor,Women's health pioneer,1414721.000,121.4854682454252,1,[2065],1414721,82
Alyssa Monks,Painter,1134525.000,139.41624365482235,1,[2311],1134525,83
Amanda Bennett,Journalist,986726.000,123.96103896103895,1,[1602],986726,84
Amanda Burden,Urban planner,1061964.000,143.014440433213,1,[1717],1061964,85
Amanda Palmer,"Musician, blogger",9006600.000,138.64570737605806,1,[1447],9006600,86
"Amanda Palmer, Jherek Bischoff, Usman Riaz","Musician, blogger",738590.000,35.93495934959349,1,[2319],738590,87
Amber Case,Cyborg Anthropologist ,1475333.000,199.66173361522198,1,[845],1475333,88
Ameenah Gurib-Fakim,President of Mauritius,952385.000,141.33802816901408,1,[1856],952385,89
Ameera Harouda,Fixer,961423.000,116.06177606177607,1,[2194],961423,90
Ami Klin,Autism researcher,572281.000,145.38851351351352,1,[1256],572281,91
Amit Sood,Technologist,768146.500,167.1034825870647,2,"[934, 2221]",1536293,92
Amory Lovins,"Physicist, energy guru",988514.000,150.69208050074613,2,"[167, 1218]",1977028,93
Amos Winter,Mechanical engineer,1004016.000,191.2166172106825,1,[1382],1004016,94
Amy Adele Hasinoff,Communications researcher,1240167.000,135.0520231213873,1,[2383],1240167,95
Amy Cuddy,Social psychologist,43155405.000,171.25198098256735,1,[1346],43155405,96
Amy Green,Video game designer,1156126.000,132.20820189274448,1,[2433],1156126,97
Amy Lockwood,Global development worker,834926.000,141.5625,1,[1019],834926,98
Amy Purdy,Pro snowboarder,1624184.000,124.5205479452055,1,[1073],1624184,99
Amy Smith,"inventor, engineer",1415724.000,170.0662251655629,1,[17],1415724,100
Amy Tan,Novelist,2477746.000,163.03206997084547,1,[219],2477746,101
Amy Webb,"Founder and CEO, Future Today Institute",6298610.000,174.04011461318052,1,[1592],6298610,102
Anab Jain,"Futurist, designer",1259603.000,154.93757094211122,1,[2478],1259603,103
Anand Agarawala,Interaction designer; software developer,1479503.000,187.09677419354838,1,[111],1479503,104
Anand Giridharadas,Writer,1124512.000,108.15677470933868,2,"[1942, 2262]",2249024,105
Anand Varma,Photographer,2206061.000,120.98360655737706,1,[1974],2206061,106
Ananda Shankar Jayant,Dancer and choreographer,587639.000,63.78490175801448,1,[712],587639,107
Anant Agarwal,Education innovator,1072727.000,154.4069640914037,1,[1666],1072727,108
Anas Aremeyaw Anas,Undercover journalist,1421509.000,141.54046997389034,1,[1519],1421509,109
