talk_id,name,title,description,url,duration,film_date,published_date,number_of_words,languages,comments,views,main_speaker,speaker_occupation,num_speaker,speed_of_speech,event,event_type,related_talks,tags,ratings,beautiful,confusing,courageous,fascinating,funny,informative,ingenious,inspiring,jaw-dropping,longwinded,ok,obnoxious,persuasive,unconvincing
0,Ken Robinson: Do schools kill creativity?,Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",19.4,2006-02-25,2006-06-27,3066,60,4553,47227110,Ken Robinson,Author/educator,1,158.04123711340208,TED2006,main,"[5, 6, 21, 180, 223, 360, 370, 381, 437, 441, 568, 624, 692, 715, 760, 1420, 1437, 1445, 1493, 1500, 1502, 1913, 2049, 2140, 2316, 2330]","['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']","[{'id': 7, 'name': 'Funny', 'count': 19645}, {'id': 1, 'name': 'Beautiful', 'count': 4573}, {'id': 9, 'name': 'Ingenious', 'count': 6073}, {'id': 3, 'name': 'Courageous', 'count': 3253}, {'id': 11, 'name': 'Longwinded', 'count': 387}, {'id': 2, 'name': 'Confusing', 'count': 242}, {'id': 8, 'name': 'Informative', 'count': 7346}, {'id': 22, 'name': 'Fascinating', 'count': 10581}, {'id': 21, 'name': 'Unconvincing', 'count': 300}, {'id': 24, 'name': 'Persuasive', 'count': 10704}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4439}, {'id': 25, 'name': 'OK', 'count': 1174}, {'id': 26, 'name': 'Obnoxious', 'count': 209}, {'id': 10, 'name': 'Inspiring', 'count': 24924}]",4573.0,242.0,3253.0,10581.0,19645.0,7346.0,6073.0,24924.0,4439.0,387.0,1174.0,209.0,10704.0,300.0
1,Al Gore: Averting the climate crisis,Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.","https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",16.283333333333335,2006-02-25,2006-06-27,2089,43,265,3200520,Al Gore,Climate advocate,1,128.29068577277377,TED2006,main,"[214, 370, 568, 2058, 2453]","['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']","[{'id': 7, 'name': 'Funny', 'count': 544}, {'id': 3, 'name': 'Courageous', 'count': 139}, {'id': 2, 'name': 'Confusing', 'count': 62}, {'id': 1, 'name': 'Beautiful', 'count': 58}, {'id': 21, 'name': 'Unconvincing', 'count': 258}, {'id': 11, 'name': 'Longwinded', 'count': 113}, {'id': 8, 'name': 'Informative', 'count': 443}, {'id': 10, 'name': 'Inspiring', 'count': 413}, {'id': 22, 'name': 'Fascinating', 'count': 132}, {'id': 9, 'name': 'Ingenious', 'count': 56}, {'id': 24, 'name': 'Persuasive', 'count': 268}, {'id': 23, 'name': 'Jaw-dropping', 'count': 116}, {'id': 26, 'name': 'Obnoxious', 'count': 131}, {'id': 25, 'name': 'OK', 'count': 203}]",58.0,62.0,139.0,132.0,544.0,443.0,56.0,413.0,116.0,113.0,203.0,131.0,268.0,258.0
2,David Pogue: Simplicity sells,Simplicity sells,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.","https://www.ted.com/talks/david_pogue_says_simplicity_sells
",21.433333333333334,2006-02-24,2006-06-27,3253,26,124,1636292,David Pogue,Technology columnist,1,151.77293934681182,TED2006,main,"[21, 97, 145, 370, 412, 568, 1352, 1913]","['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']","[{'id': 7, 'name': 'Funny', 'count': 964}, {'id': 3, 'name': 'Courageous', 'count': 45}, {'id': 9, 'name': 'Ingenious', 'count': 183}, {'id': 1, 'name': 'Beautiful', 'count': 60}, {'id': 21, 'name': 'Unconvincing', 'count': 104}, {'id': 11, 'name': 'Longwinded', 'count': 78}, {'id': 8, 'name': 'Informative', 'count': 395}, {'id': 10, 'name': 'Inspiring', 'count': 230}, {'id': 22, 'name': 'Fascinating', 'count': 166}, {'id': 2, 'name': 'Confusing', 'count': 27}, {'id': 25, 'name': 'OK', 'count': 146}, {'id': 24, 'name': 'Persuasive', 'count': 230}, {'id': 23, 'name': 'Jaw-dropping', 'count': 54}, {'id': 26, 'name': 'Obnoxious', 'count': 142}]",60.0,27.0,45.0,166.0,964.0,395.0,183.0,230.0,54.0,78.0,146.0,142.0,230.0,104.0
3,Majora Carter: Greening the ghetto,Greening the ghetto,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.","https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",18.6,2006-02-26,2006-06-27,3015,35,200,1697550,Majora Carter,Activist for environmental justice,1,162.09677419354838,TED2006,main,"[836, 1303, 1597, 1717, 2346]","['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']","[{'id': 3, 'name': 'Courageous', 'count': 760}, {'id': 1, 'name': 'Beautiful', 'count': 291}, {'id': 2, 'name': 'Confusing', 'count': 32}, {'id': 7, 'name': 'Funny', 'count': 59}, {'id': 9, 'name': 'Ingenious', 'count': 105}, {'id': 21, 'name': 'Unconvincing', 'count': 36}, {'id': 11, 'name': 'Longwinded', 'count': 53}, {'id': 8, 'name': 'Informative', 'count': 380}, {'id': 10, 'name': 'Inspiring', 'count': 1070}, {'id': 22, 'name': 'Fascinating', 'count': 132}, {'id': 24, 'name': 'Persuasive', 'count': 460}, {'id': 23, 'name': 'Jaw-dropping', 'count': 230}, {'id': 26, 'name': 'Obnoxious', 'count': 35}, {'id': 25, 'name': 'OK', 'count': 85}]",291.0,32.0,760.0,132.0,59.0,380.0,105.0,1070.0,230.0,53.0,85.0,35.0,460.0,36.0
4,Hans Rosling: The best stats you've ever seen,The best stats you've ever seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""","https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",19.833333333333332,2006-02-22,2006-06-27,3121,48,593,12005869,Hans Rosling,Global health expert; data visionary,1,157.36134453781514,TED2006,main,"[39, 63, 110, 117, 122, 130, 139, 205, 274, 404, 435, 447, 502, 523, 558, 563, 726, 749, 755, 784, 1011, 1043, 1202, 1239, 1361, 1441, 1538, 1607, 1621, 1779, 1818, 1826, 2257, 2310, 2425, 2477]","['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']","[{'id': 9, 'name': 'Ingenious', 'count': 3202}, {'id': 7, 'name': 'Funny', 'count': 1390}, {'id': 1, 'name': 'Beautiful', 'count': 942}, {'id': 3, 'name': 'Courageous', 'count': 318}, {'id': 11, 'name': 'Longwinded', 'count': 110}, {'id': 2, 'name': 'Confusing', 'count': 72}, {'id': 21, 'name': 'Unconvincing', 'count': 67}, {'id': 8, 'name': 'Informative', 'count': 5433}, {'id': 10, 'name': 'Inspiring', 'count': 2893}, {'id': 22, 'name': 'Fascinating', 'count': 4606}, {'id': 23, 'name': 'Jaw-dropping', 'count': 3736}, {'id': 24, 'name': 'Persuasive', 'count': 2542}, {'id': 25, 'name': 'OK', 'count': 248}, {'id': 26, 'name': 'Obnoxious', 'count': 61}]",942.0,72.0,318.0,4606.0,1390.0,5433.0,3202.0,2893.0,3736.0,110.0,248.0,61.0,2542.0,67.0
5,Tony Robbins: Why we do what we do,Why we do what we do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",21.75,2006-02-02,2006-06-27,4228,36,672,20685401,Tony Robbins,Life coach; expert in leadership psychology,1,194.39080459770116,TED2006,main,"[0, 9, 23, 59, 66, 73, 101, 152, 180, 219, 247, 281, 291, 296, 297, 331, 347, 354, 360, 370, 437, 568, 569, 661, 692, 755, 792, 837, 908, 1164, 1194, 1420, 1445, 1472, 1500, 1502, 1646, 1736, 1913, 1996, 2048, 2049, 2140, 2292, 2369]","['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","[{'id': 7, 'name': 'Funny', 'count': 1102}, {'id': 3, 'name': 'Courageous', 'count': 721}, {'id': 21, 'name': 'Unconvincing', 'count': 377}, {'id': 2, 'name': 'Confusing', 'count': 301}, {'id': 1, 'name': 'Beautiful', 'count': 706}, {'id': 9, 'name': 'Ingenious', 'count': 397}, {'id': 11, 'name': 'Longwinded', 'count': 285}, {'id': 8, 'name': 'Informative', 'count': 1038}, {'id': 10, 'name': 'Inspiring', 'count': 5211}, {'id': 22, 'name': 'Fascinating', 'count': 1350}, {'id': 24, 'name': 'Persuasive', 'count': 2423}, {'id': 25, 'name': 'OK', 'count': 441}, {'id': 23, 'name': 'Jaw-dropping', 'count': 669}, {'id': 26, 'name': 'Obnoxious', 'count': 335}]",706.0,301.0,721.0,1350.0,1102.0,1038.0,397.0,5211.0,669.0,285.0,441.0,335.0,2423.0,377.0
6,Julia Sweeney: Letting go of God,Letting go of God,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ","https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",16.533333333333335,2006-02-24,2006-07-10,2907,31,919,3769987,Julia Sweeney,"Actor, comedian, playwright",1,175.8266129032258,TED2006,main,"[0, 9, 95, 260, 265, 291, 331, 370, 568, 624, 685, 2049, 2114, 2340, 2471]","['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']","[{'id': 3, 'name': 'Courageous', 'count': 477}, {'id': 7, 'name': 'Funny', 'count': 2484}, {'id': 9, 'name': 'Ingenious', 'count': 320}, {'id': 21, 'name': 'Unconvincing', 'count': 225}, {'id': 1, 'name': 'Beautiful', 'count': 277}, {'id': 2, 'name': 'Confusing', 'count': 72}, {'id': 8, 'name': 'Informative', 'count': 226}, {'id': 10, 'name': 'Inspiring', 'count': 438}, {'id': 22, 'name': 'Fascinating', 'count': 316}, {'id': 11, 'name': 'Longwinded', 'count': 193}, {'id': 24, 'name': 'Persuasive', 'count': 311}, {'id': 25, 'name': 'OK', 'count': 308}, {'id': 26, 'name': 'Obnoxious', 'count': 290}, {'id': 23, 'name': 'Jaw-dropping', 'count': 61}]",277.0,72.0,477.0,316.0,2484.0,226.0,320.0,438.0,61.0,193.0,308.0,290.0,311.0,225.0
7,Joshua Prince-Ramus: Behind the design of Seattle's library,Behind the design of Seattle's library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.","https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",19.966666666666665,2006-02-23,2006-07-10,3295,19,46,967741,Joshua Prince-Ramus,Architect,1,165.02504173622705,TED2006,main,"[74, 192, 202, 206, 289, 603, 1932, 2118, 2466]","['architecture', 'collaboration', 'culture', 'design', 'library']","[{'id': 9, 'name': 'Ingenious', 'count': 195}, {'id': 1, 'name': 'Beautiful', 'count': 98}, {'id': 11, 'name': 'Longwinded', 'count': 26}, {'id': 3, 'name': 'Courageous', 'count': 34}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 10, 'name': 'Inspiring', 'count': 175}, {'id': 8, 'name': 'Informative', 'count': 121}, {'id': 22, 'name': 'Fascinating', 'count': 153}, {'id': 2, 'name': 'Confusing', 'count': 25}, {'id': 24, 'name': 'Persuasive', 'count': 37}, {'id': 25, 'name': 'OK', 'count': 63}, {'id': 23, 'name': 'Jaw-dropping', 'count': 57}, {'id': 7, 'name': 'Funny', 'count': 9}, {'id': 26, 'name': 'Obnoxious', 'count': 5}]",98.0,25.0,34.0,153.0,9.0,121.0,195.0,175.0,57.0,26.0,63.0,5.0,37.0,26.0
8,Dan Dennett: Let's teach religion -- all religion -- in schools,Let's teach religion -- all religion -- in schools,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.","https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",24.75,2006-02-02,2006-07-18,3584,32,852,2567958,Dan Dennett,"Philosopher, cognitive scientist",1,144.8080808080808,TED2006,main,"[9, 95, 1114, 1736]","['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']","[{'id': 3, 'name': 'Courageous', 'count': 562}, {'id': 2, 'name': 'Confusing', 'count': 70}, {'id': 21, 'name': 'Unconvincing', 'count': 283}, {'id': 7, 'name': 'Funny', 'count': 60}, {'id': 11, 'name': 'Longwinded', 'count': 177}, {'id': 9, 'name': 'Ingenious', 'count': 211}, {'id': 1, 'name': 'Beautiful', 'count': 145}, {'id': 8, 'name': 'Informative', 'count': 623}, {'id': 10, 'name': 'Inspiring', 'count': 441}, {'id': 22, 'name': 'Fascinating', 'count': 313}, {'id': 24, 'name': 'Persuasive', 'count': 764}, {'id': 23, 'name': 'Jaw-dropping', 'count': 60}, {'id': 25, 'name': 'OK', 'count': 154}, {'id': 26, 'name': 'Obnoxious', 'count': 83}]",145.0,70.0,562.0,313.0,60.0,623.0,211.0,441.0,60.0,177.0,154.0,83.0,764.0,283.0
9,Rick Warren: A life of purpose,A life of purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.","https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",21.033333333333335,2006-02-25,2006-07-18,3441,31,900,3095993,Rick Warren,"Pastor, author",1,163.59746434231377,TED2006,main,"[5, 6, 8, 95, 219, 260, 261, 360, 1500, 1736, 1913, 2048]","['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']","[{'id': 21, 'name': 'Unconvincing', 'count': 838}, {'id': 1, 'name': 'Beautiful', 'count': 767}, {'id': 3, 'name': 'Courageous', 'count': 476}, {'id': 9, 'name': 'Ingenious', 'count': 116}, {'id': 11, 'name': 'Longwinded', 'count': 306}, {'id': 2, 'name': 'Confusing', 'count': 111}, {'id': 8, 'name': 'Informative', 'count': 304}, {'id': 10, 'name': 'Inspiring', 'count': 2556}, {'id': 22, 'name': 'Fascinating', 'count': 459}, {'id': 7, 'name': 'Funny', 'count': 26}, {'id': 24, 'name': 'Persuasive', 'count': 1543}, {'id': 26, 'name': 'Obnoxious', 'count': 371}, {'id': 25, 'name': 'OK', 'count': 245}, {'id': 23, 'name': 'Jaw-dropping', 'count': 209}]",767.0,111.0,476.0,459.0,26.0,304.0,116.0,2556.0,209.0,306.0,245.0,371.0,1543.0,838.0
